date,segment,visitors
2022-10-08,Mobile Traffic,14055
2022-10-09,Mobile Traffic,15124
2022-10-10,Mobile Traffic,14498
2022-10-11,Mobile Traffic,28031
2022-10-12,Mobile Traffic,18670
2022-10-13,Mobile Traffic,44093
2022-10-14,Mobile Traffic,41068
2022-10-15,Mobile Traffic,19895
2022-10-16,Mobile Traffic,15071
2022-10-17,Mobile Traffic,15280
2022-10-18,Mobile Traffic,15176
2022-10-19,Mobile Traffic,13950
2022-10-20,Mobile Traffic,13246
2022-10-21,Mobile Traffic,14081
2022-10-22,Mobile Traffic,14576
2022-10-23,Mobile Traffic,15489
2022-10-24,Mobile Traffic,13794
2022-10-25,Mobile Traffic,13377
2022-10-26,Mobile Traffic,12725
2022-10-27,Mobile Traffic,13768
2022-10-28,Mobile Traffic,11317
2022-10-29,Mobile Traffic,9987
2022-10-30,Mobile Traffic,9517
2022-10-31,Mobile Traffic,8631
2022-11-01,Mobile Traffic,11317
2022-11-02,Mobile Traffic,12907
2022-11-03,Mobile Traffic,10665
2022-11-04,Mobile Traffic,15932
2022-11-05,Mobile Traffic,16871
2022-11-06,Mobile Traffic,12542
2022-11-07,Mobile Traffic,9544
2022-11-08,Mobile Traffic,11812
2022-11-09,Mobile Traffic,13298
2022-11-10,Mobile Traffic,15358
2022-11-11,Mobile Traffic,13611
2022-11-12,Mobile Traffic,13820
2022-11-13,Mobile Traffic,13794
2022-11-14,Mobile Traffic,21512
2022-11-15,Mobile Traffic,565546
2022-11-16,Mobile Traffic,241144
2022-11-17,Mobile Traffic,153218
2022-11-18,Mobile Traffic,127951
2022-11-19,Mobile Traffic,71394
2022-11-20,Mobile Traffic,58174
2022-11-21,Mobile Traffic,42737
2022-11-22,Mobile Traffic,29700
2022-11-23,Mobile Traffic,24902
2022-11-24,Mobile Traffic,23363
2022-11-25,Mobile Traffic,18957
2022-11-26,Mobile Traffic,18670
2022-11-27,Mobile Traffic,17288
2022-11-28,Mobile Traffic,13533
2022-11-29,Mobile Traffic,13742
2022-11-30,Mobile Traffic,15280
2022-12-01,Mobile Traffic,14654
2022-12-02,Mobile Traffic,16819
2022-12-03,Mobile Traffic,15723
2022-12-04,Mobile Traffic,14733
2022-12-05,Mobile Traffic,15202
2022-12-06,Mobile Traffic,14941
2022-12-07,Mobile Traffic,12751
2022-12-08,Mobile Traffic,13768
2022-12-09,Mobile Traffic,12281
2022-12-10,Mobile Traffic,13298
2022-12-11,Mobile Traffic,12438
2022-12-12,Mobile Traffic,12125
2022-12-13,Mobile Traffic,11525
2022-12-14,Mobile Traffic,13559
2022-12-15,Mobile Traffic,12542
2022-12-16,Mobile Traffic,11734
2022-12-17,Mobile Traffic,12438
2022-12-18,Mobile Traffic,12073
2022-12-19,Mobile Traffic,10978
2022-12-20,Mobile Traffic,11838
2022-12-21,Mobile Traffic,25397
2022-12-22,Mobile Traffic,18513
2022-12-23,Mobile Traffic,15437
2022-12-24,Mobile Traffic,13142
2022-12-25,Mobile Traffic,12203
2022-12-26,Mobile Traffic,12386
2022-12-27,Mobile Traffic,12542
2022-12-28,Mobile Traffic,15567
2022-12-29,Mobile Traffic,14602
2022-12-30,Mobile Traffic,14576
2022-12-31,Mobile Traffic,22685
2023-01-01,Mobile Traffic,18566
2023-01-02,Mobile Traffic,15984
2023-01-03,Mobile Traffic,16427
2023-01-04,Mobile Traffic,20130
2023-01-05,Mobile Traffic,27509
2023-01-06,Mobile Traffic,19270
2023-01-07,Mobile Traffic,18383
2023-01-08,Mobile Traffic,18644
2023-01-09,Mobile Traffic,16141
2023-01-10,Mobile Traffic,19661
2023-01-11,Mobile Traffic,22529
2023-01-12,Mobile Traffic,20234
2023-01-13,Mobile Traffic,17679
2023-01-14,Mobile Traffic,18566
2023-01-15,Mobile Traffic,17992
2023-01-16,Mobile Traffic,13168
2023-01-17,Mobile Traffic,13872
2023-01-18,Mobile Traffic,16688
2023-01-19,Mobile Traffic,18800
2023-01-20,Mobile Traffic,16740
2023-01-21,Mobile Traffic,19165
2023-01-22,Mobile Traffic,29387
2023-01-23,Mobile Traffic,18253
2023-01-24,Mobile Traffic,28970
2023-01-25,Mobile Traffic,39165
2023-01-26,Mobile Traffic,33741
2023-01-27,Mobile Traffic,33924
2023-01-28,Mobile Traffic,33481
2023-01-29,Mobile Traffic,58565
2023-01-30,Mobile Traffic,41016
2023-01-31,Mobile Traffic,42085
2023-02-01,Mobile Traffic,54184
2023-02-02,Mobile Traffic,59452
2023-02-03,Mobile Traffic,93506
2023-02-04,Mobile Traffic,158381
2023-02-05,Mobile Traffic,2271726
2023-02-06,Mobile Traffic,1073960
2023-02-07,Mobile Traffic,277101
2023-02-08,Mobile Traffic,151680
2023-02-09,Mobile Traffic,109829
2023-02-10,Mobile Traffic,92671
2023-02-11,Mobile Traffic,96400
2023-02-12,Mobile Traffic,103753
2023-02-13,Mobile Traffic,56296
2023-02-14,Mobile Traffic,35541
2023-02-15,Mobile Traffic,33898
2023-02-16,Mobile Traffic,29882
2023-02-17,Mobile Traffic,29752
2023-02-18,Mobile Traffic,29230
2023-02-19,Mobile Traffic,24954
2023-02-20,Mobile Traffic,18957
2023-02-21,Mobile Traffic,16714
2023-02-22,Mobile Traffic,16740
2023-02-23,Mobile Traffic,17262
2023-02-24,Mobile Traffic,18096
2023-02-25,Mobile Traffic,19270
2023-02-26,Mobile Traffic,14185
2023-02-27,Mobile Traffic,10326
2023-02-28,Mobile Traffic,10717
2023-03-01,Mobile Traffic,10169
2023-03-02,Mobile Traffic,10769
2023-03-03,Mobile Traffic,11682
2023-03-04,Mobile Traffic,13168
2023-03-05,Mobile Traffic,12281
2023-03-06,Mobile Traffic,10952
2023-03-07,Mobile Traffic,11134
2023-03-08,Mobile Traffic,11864
2023-03-09,Mobile Traffic,10169
2023-03-10,Mobile Traffic,12725
2023-03-11,Mobile Traffic,13351
2023-03-12,Mobile Traffic,28552
2023-03-13,Mobile Traffic,23911
2023-03-14,Mobile Traffic,10587
2023-03-15,Mobile Traffic,11603
2023-03-16,Mobile Traffic,11890
2023-03-17,Mobile Traffic,12490
2023-03-18,Mobile Traffic,21929
2023-03-19,Mobile Traffic,13742
2023-03-20,Mobile Traffic,10065
2023-03-21,Mobile Traffic,10326
2023-03-22,Mobile Traffic,9544
2023-03-23,Mobile Traffic,8944
2023-03-24,Mobile Traffic,14341
2023-03-25,Mobile Traffic,13116
2023-03-26,Mobile Traffic,10065
2023-03-27,Mobile Traffic,7040
2023-03-28,Mobile Traffic,9622
2023-03-29,Mobile Traffic,11812
2023-03-30,Mobile Traffic,9648
2023-03-31,Mobile Traffic,11343
2023-04-01,Mobile Traffic,9596
2023-04-02,Mobile Traffic,7092
2023-04-03,Mobile Traffic,11134
2023-04-04,Mobile Traffic,11577
2023-04-05,Mobile Traffic,10639
2023-04-06,Mobile Traffic,10743
2023-04-07,Mobile Traffic,10952
2023-04-08,Mobile Traffic,12829
2023-04-09,Mobile Traffic,25788
2023-04-10,Mobile Traffic,11656
2023-04-11,Mobile Traffic,10769
2023-04-12,Mobile Traffic,8944
2023-04-13,Mobile Traffic,10091
2023-04-14,Mobile Traffic,11734
2023-04-15,Mobile Traffic,11760
2023-04-16,Mobile Traffic,9309
2023-04-17,Mobile Traffic,7431
2023-04-18,Mobile Traffic,9231
2023-04-19,Mobile Traffic,10743
2023-04-20,Mobile Traffic,12386
2023-04-21,Mobile Traffic,12412
2023-04-22,Mobile Traffic,11786
2023-04-23,Mobile Traffic,10039
2023-04-24,Mobile Traffic,8214
2023-04-25,Mobile Traffic,10534
2023-04-26,Mobile Traffic,8396
2023-04-27,Mobile Traffic,7562
2023-04-28,Mobile Traffic,8735
2023-04-29,Mobile Traffic,9126
2023-04-30,Mobile Traffic,7510
2023-05-01,Mobile Traffic,6336
2023-05-02,Mobile Traffic,8188
2023-05-03,Mobile Traffic,10169
2023-05-04,Mobile Traffic,9804
2023-05-05,Mobile Traffic,8266
2023-05-06,Mobile Traffic,9178
2023-05-07,Mobile Traffic,7014
2023-05-08,Mobile Traffic,16636
2023-05-09,Mobile Traffic,13429
2023-05-10,Mobile Traffic,18435
2023-05-11,Mobile Traffic,14081
2023-05-12,Mobile Traffic,10587
2023-05-13,Mobile Traffic,9778
2023-05-14,Mobile Traffic,10091
2023-05-15,Mobile Traffic,6519
2023-05-16,Mobile Traffic,7327
2023-05-17,Mobile Traffic,8474
2023-05-18,Mobile Traffic,7145
2023-05-19,Mobile Traffic,11603
2023-05-20,Mobile Traffic,13403
2023-05-21,Mobile Traffic,9309
2023-05-22,Mobile Traffic,6415
2023-05-23,Mobile Traffic,10639
2023-05-24,Mobile Traffic,12725
2023-05-25,Mobile Traffic,14993
2023-05-26,Mobile Traffic,11760
2023-05-27,Mobile Traffic,10926
2023-05-28,Mobile Traffic,8083
2023-05-29,Mobile Traffic,10926
2023-05-30,Mobile Traffic,9152
2023-05-31,Mobile Traffic,21382
2023-06-01,Mobile Traffic,11056
2023-06-02,Mobile Traffic,8083
2023-06-03,Mobile Traffic,10300
2023-06-04,Mobile Traffic,7640
2023-06-05,Mobile Traffic,11238
2023-06-06,Mobile Traffic,9309
2023-06-07,Mobile Traffic,9048
2023-06-08,Mobile Traffic,9830
2023-06-09,Mobile Traffic,10248
2023-06-10,Mobile Traffic,10195
2023-06-11,Mobile Traffic,8631
2023-06-12,Mobile Traffic,9309
2023-06-13,Mobile Traffic,17444
2023-06-14,Mobile Traffic,14602
2023-06-15,Mobile Traffic,11134
2023-06-16,Mobile Traffic,12151
2023-06-17,Mobile Traffic,12699
2023-06-18,Mobile Traffic,13272
2023-06-19,Mobile Traffic,8370
2023-06-20,Mobile Traffic,9517
2023-06-21,Mobile Traffic,9804
2023-06-22,Mobile Traffic,9387
2023-06-23,Mobile Traffic,11995
2023-06-24,Mobile Traffic,11577
2023-06-25,Mobile Traffic,11369
2023-06-26,Mobile Traffic,7327
2023-06-27,Mobile Traffic,9491
2023-06-28,Mobile Traffic,9856
2023-06-29,Mobile Traffic,12881
2023-06-30,Mobile Traffic,14446
